City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,35.83,98,100,39.46,TF,1687842677
1,mbanza kongo,-6.267,14.2401,63.23,95,54,3.2,AO,1687842094
2,adamstown,-25.066,-130.1015,70.95,80,68,24.11,PN,1687842677
3,punta arenas,-53.15,-70.9167,33.91,80,75,16.11,CL,1687842564
4,hamilton,39.1834,-84.5333,68.09,90,100,11.5,US,1687842670
5,iqaluit,63.7506,-68.5145,40.73,80,75,4.61,CA,1687842678
6,puerto gaitan,4.3133,-72.0816,76.3,87,98,3.29,CO,1687842678
7,mogadishu,2.0371,45.3438,79.03,78,18,16.8,SO,1687842678
8,puerto ayora,-0.7393,-90.3518,75.54,94,87,9.84,EC,1687842678
9,ribeira grande,38.5167,-28.7,66.78,88,2,5.99,PT,1687842679
10,stanley,54.868,-1.6985,53.89,90,99,4.34,GB,1687842679
11,ushuaia,-54.8,-68.3,24.46,80,0,4.61,AR,1687842651
12,happy valley-goose bay,53.3168,-60.3315,61.07,58,100,11.48,CA,1687842679
13,bikenibeu village,1.3673,173.1241,82.36,83,100,4.61,KI,1687842679
14,acarau,-2.8856,-40.12,75.96,84,16,11.41,BR,1687842680
15,longyearbyen,78.2186,15.6401,44.44,87,75,9.22,SJ,1687842680
16,quang ngai,15.1167,108.8,93.54,51,98,10.31,VN,1687842089
17,carauari,-4.8828,-66.8958,74.21,92,95,1.79,BR,1687842680
18,grytviken,-54.2811,-36.5092,23.32,93,100,4.74,GS,1687842681
19,bredasdorp,-34.5322,20.0403,56.61,89,96,20.2,ZA,1687842681
20,petropavlovsk-kamchatsky,53.0452,158.6483,75.79,53,0,11.18,RU,1687842095
21,waitangi,-43.9535,-176.5597,53.82,93,100,11.01,NZ,1687842681
22,aasiaat,68.7098,-52.8699,37.63,90,100,13.44,GL,1687842681
23,thompson,55.7435,-97.8558,50.16,71,75,0.0,CA,1687842682
24,ilulissat,69.2167,-51.1,50.02,57,20,12.66,GL,1687842682
25,svetlyy,54.675,20.1347,59.97,96,100,18.63,RU,1687842682
26,geraldton,-28.7667,114.6,61.21,55,0,14.97,AU,1687842682
27,college,64.8569,-147.8028,67.98,45,75,6.91,US,1687842683
28,lerwick,60.1545,-1.1494,51.8,90,1,7.07,GB,1687842103
29,gimbi,9.1667,35.8333,57.0,98,98,2.04,ET,1687842683
30,tralee,52.2704,-9.7026,60.57,98,100,6.44,IE,1687842683
31,lhasa,29.65,91.1,66.65,41,100,6.26,CN,1687842110
32,jangaon,17.7167,79.1833,83.39,61,100,15.55,IN,1687842684
33,natal,-5.795,-35.2094,72.25,94,40,9.22,BR,1687842476
34,badger,64.8,-147.5333,67.91,44,75,6.91,US,1687842684
35,tiksi,71.6872,128.8694,54.68,48,21,3.33,RU,1687842684
36,palembang,-2.9167,104.7458,87.89,66,40,4.61,ID,1687842400
37,mangrol,21.1167,70.1167,81.37,86,100,15.52,IN,1687842685
38,kununurra,-15.7667,128.7333,80.58,50,100,12.66,AU,1687841958
39,afaahiti,-17.75,-149.2833,78.67,80,27,15.99,PF,1687842685
40,atafu village,-8.5421,-172.5159,83.12,80,97,18.63,TK,1687842686
41,wailua homesteads,22.0669,-159.378,81.03,83,75,16.11,US,1687842686
42,port lincoln,-34.7333,135.8667,57.78,67,100,4.12,AU,1687842112
43,yellowknife,62.456,-114.3525,56.3,70,8,5.91,CA,1687842641
44,edinburgh of the seven seas,-37.0676,-12.3116,60.21,95,100,31.34,SH,1687842686
45,ust'-kut,56.7938,105.7672,53.56,97,100,7.38,RU,1687842563
46,salalah,17.0151,54.0924,86.09,79,75,8.05,OM,1687842687
47,luena,-11.7833,19.9167,48.49,53,10,1.74,AO,1687842687
48,luderitz,-26.6481,15.1594,54.21,92,42,18.43,NA,1687842181
49,isafjordur,66.0755,-23.124,51.13,79,11,3.11,IS,1687842088
50,portland,45.5234,-122.6762,69.06,63,20,11.5,US,1687842564
51,kodiak,57.79,-152.4072,47.71,93,100,8.05,US,1687841979
52,kingston,17.997,-76.7936,78.24,88,100,1.01,JM,1687842688
53,susuman,62.7833,148.1667,70.12,67,69,8.1,RU,1687842688
54,port mathurin,-19.6833,63.4167,72.39,61,51,11.77,MU,1687842689
55,vilyuchinsk,52.9306,158.4028,77.27,69,87,2.13,RU,1687842689
56,newman,37.3138,-121.0208,70.03,64,11,7.54,US,1687842116
57,noshiro,40.2039,140.0242,73.33,75,100,9.95,JP,1687842690
58,lethbridge,49.7,-112.8186,66.69,63,20,8.05,CA,1687842393
59,west island,-12.1568,96.8225,82.38,65,93,12.66,CC,1687842691
60,ravar,31.2656,56.8055,91.99,12,0,2.71,IR,1687842691
61,magway,20.15,94.9167,88.03,56,92,10.09,MM,1687842691
62,udachny,66.4167,112.4,70.45,34,66,14.97,RU,1687842692
63,papatowai,-46.5619,169.4708,49.51,93,100,4.16,NZ,1687842692
64,ust-nera,64.5667,143.2,78.64,46,78,5.68,RU,1687842134
65,guiuan,11.0333,125.7247,84.06,72,100,5.1,PH,1687842692
66,tazacorte,28.629,-17.9293,68.97,83,0,8.05,ES,1687842157
67,margaret river,-33.95,115.0667,59.77,57,74,9.69,AU,1687842693
68,kapa'a,22.0752,-159.319,82.38,83,75,16.11,US,1687842693
69,mossel bay,-34.1831,22.146,53.53,87,91,19.19,ZA,1687842693
70,miranda,3.2499,-76.2281,68.13,83,82,5.21,CO,1687842693
71,isangel,-19.55,169.2667,77.11,57,40,5.75,VU,1687842146
72,veraval,20.9,70.3667,80.76,88,100,14.81,IN,1687842410
73,dudinka,69.4058,86.1778,61.63,48,85,3.58,RU,1687842694
74,waite park,45.5572,-94.2242,70.66,77,20,3.44,US,1687842525
75,the pas,53.8251,-101.2541,60.82,72,40,4.61,CA,1687842694
76,uturoa,-16.7333,-151.4333,81.0,72,0,16.8,PF,1687842136
77,carnarvon,-24.8667,113.6333,62.46,40,0,24.56,AU,1687842100
78,new norfolk,-42.7826,147.0587,55.92,68,76,7.05,AU,1687842695
79,ghanzi,-21.5667,21.7833,51.04,46,0,10.89,BW,1687842695
80,invercargill,-46.4,168.35,48.58,94,67,0.98,NZ,1687842585
